ENSEMBL,wt_GFPneg_24hpf_1,wt_GFPpos_24hpf_1,wt_GFPpos_24hpf_2,wt_GFPneg_48hpf_1,wt_GFPpos_48hpf_1,wt_GFPpos_48hpf_2,wt_GFPneg_72hpf_1,wt_GFPpos_72hpf_1,wt_GFPpos_72hpf_2,gata5_GFPneg_72hpf_1,gata5_GFPpos_72hpf_1,gata5_GFPpos_72hpf_2,tbx5_GFPneg_72hpf_1,tbx5_GFPpos_72hpf_1,tbx5_GFPpos_72hpf_2,hand2_GFPneg_72hpf_1,hand2_GFPpos_72hpf_1,hand2_GFPpos_72hpf_2
ENSDARG00000097129,8,12,66,6,9,14,19,0,0,0,12,0,34,20,0,20,11,32
ENSDARG00000097130,0,0,0,0,0,0,12,0,1,0,0,0,23,0,0,14,0,4
ENSDARG00000097132,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ENSDARG00000097134,75,86,2,124,12,98,54,0,71,47,257,7,125,131,0,37,116,115
ENSDARG00000097135,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ENSDARG00000097137,35,60,37,32,235,241,133,866,578,52,412,183,257,955,505,80,967,1106
ENSDARG00000097138,0,0,0,0,0,0,0,0,0,9,0,0,12,6,10,0,30,33
ENSDARG00000097141,0,30,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ENSDARG00000097145,12,22,36,42,14,39,23,54,0,66,0,0,39,24,0,40,28,37
ENSDARG00000097146,2,0,0,8,0,15,0,0,0,44,0,6,127,46,0,14,14,11
ENSDARG00000097150,25,7,95,34,16,0,13,0,0,85,0,22,62,27,42,12,7,0
ENSDARG00000097151,0,0,0,0,0,6,0,0,0,0,0,0,10,33,0,0,19,38
ENSDARG00000097152,46,61,24,20,23,79,21,20,30,20,34,4,58,110,2,0,20,22
ENSDARG00000097153,13,0,56,5,0,0,0,0,0,0,6,0,4,0,1,0,0,0
ENSDARG00000097155,37,37,127,42,34,53,11,87,0,37,9,43,31,80,56,33,38,37
ENSDARG00000097156,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
ENSDARG00000097157,0,0,0,0,6,0,0,0,0,1,35,17,7,0,0,0,20,7
ENSDARG00000097158,12,30,39,29,21,34,3,55,8,28,34,0,138,140,35,15,7,29
ENSDARG00000097159,12,22,0,17,21,0,3,96,0,7,0,0,25,9,0,0,7,0
ENSDARG00000097160,3,0,0,38,0,41,68,199,0,25,45,0,556,87,5,91,50,4
ENSDARG00000097162,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,29,8,0
ENSDARG00000097163,5,6,0,20,31,0,0,0,0,27,0,0,13,2,0,8,5,10
ENSDARG00000097164,13,7,0,2,34,0,4,52,0,0,0,72,10,106,0,11,20,97
ENSDARG00000097166,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,9,0,0
ENSDARG00000097168,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSDARG00000097169,8,0,56,2,14,15,12,88,173,32,0,0,17,0,0,7,31,33
ENSDARG00000097170,8,53,0,38,127,154,28,164,655,70,5,246,331,425,82,193,140,132
ENSDARG00000097171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
ENSDARG00000097172,31,22,0,25,0,37,4,0,0,0,18,0,36,74,0,2,65,28
ENSDARG00000097174,0,0,0,0,0,29,8,0,0,0,0,0,0,0,0,0,0,0
ENSDARG00000097175,0,23,0,1,0,0,11,0,0,0,0,0,4,0,0,0,0,0
