ENSEMBL,wt_GFPneg_24hpf_1,wt_GFPpos_24hpf_av,wt_GFPneg_48hpf_1,wt_GFPpos_48hpf_av,wt_GFPneg_72hpf_1,wt_GFPpos_72hpf_av,gata5_GFPneg_72hpf_1,gata5_GFPpos_72hpf_av,tbx5_GFPneg_72hpf_1,tbx5_GFPpos_72hpf_av,hand2_GFPneg_72hpf_1,hand2_GFPpos_72hpf_av
ENSDARG00000019274,27,35,58,3215,39,5977.5,52,2621.5,194,6975.5,51,2524
ENSDARG00000019278,87,186,114,404,76,522.5,77,263.5,394,672,136,553
ENSDARG00000019280,669,1340,450,506.5,358,887.5,240,382.5,698,982.5,337,982
ENSDARG00000019293,688,1105,412,445,273,864.5,229,183,562,767,244,602.5
ENSDARG00000019294,0,0,0,0,0,0,0,12,0,24.5,0,0.5
ENSDARG00000019299,560,738.5,974,582.5,385,808,575,341,1818,719.5,697,844
ENSDARG00000019300,403,555.5,253,438,171,683,211,180.5,694,321.5,376,397.5
ENSDARG00000019302,41,81,281,237,209,717.5,327,318,704,313.5,393,606
ENSDARG00000019304,55,19,247,109.5,55,45,78,60,908,72,482,33.5
ENSDARG00000019307,148,1227.5,44,227.5,51,516,104,263.5,290,655.5,118,746.5
ENSDARG00000019311,198,163.5,160,154,63,314,85,72.5,150,214.5,40,212.5
ENSDARG00000019312,8,34.5,114,19,53,0,54,16.5,384,11.5,58,37
ENSDARG00000019316,11,30.5,30,39,32,11.5,25,25.5,59,12.5,0,35.5
ENSDARG00000019326,236,324.5,237,484.5,224,789.5,222,295.5,538,876.5,239,897
ENSDARG00000019328,325,143.5,2137,871,556,1127,1382,583.5,5550,1305.5,2132,1329
ENSDARG00000019332,16,53.5,40,31.5,29,84.5,51,10,43,31.5,12,45.5
ENSDARG00000019335,213,59,292,179,109,423,90,60.5,446,118,136,92
ENSDARG00000019338,94,234.5,145,164.5,67,300,34,128,366,137,148,154.5
ENSDARG00000019339,46,164.5,46,115,1,79.5,7,141,82,138.5,16,180.5
ENSDARG00000019341,8,8.5,279,137,149,79.5,182,63,652,95.5,138,44.5
ENSDARG00000019342,24,0,9,13.5,35,88,45,16,89,50.5,38,20.5
ENSDARG00000019345,347,1197,768,1202,423,2175.5,388,707.5,1859,1591,881,1707
ENSDARG00000019353,1398,1954.5,2510,3644.5,5134,7821,4575,2137.5,7700,2795.5,4784,2612.5
ENSDARG00000019355,10,35,53,40,9,153.5,35,36,45,73,45,40.5
ENSDARG00000019357,0,0,0,5.5,0,0,0,0,0,0,6,0
ENSDARG00000019360,246,802,421,911.5,312,1419,377,888,893,1006,417,913.5
ENSDARG00000019362,1068,1673,534,1380,586,2396,490,804.5,940,1724.5,361,1760.5
ENSDARG00000019364,92,107.5,70,148.5,61,270,110,48.5,200,123.5,165,132
ENSDARG00000019365,35,3.5,6,0,38,38,6,19.5,2,10,14,0.5
ENSDARG00000019367,289,905,374,708.5,605,1159.5,741,173,873,642,663,970
ENSDARG00000019371,64,685.5,50,30,27,285,102,41.5,67,34.5,61,20.5
ENSDARG00000019383,1354,1770.5,1806,2715,1023,3425.5,975,1432,3875,3188,1575,3676.5
ENSDARG00000019392,190,490.5,93,1073.5,121,1480.5,186,1363,372,3007.5,178,2554.5
ENSDARG00000019396,0,0,0,0,14,65,54,0,42,10,21,7.5
ENSDARG00000019398,257,559,355,799,178,1169.5,184,361.5,522,614.5,243,853.5
ENSDARG00000019404,256,644,253,825,174,841.5,206,449,487,1100.5,275,983
ENSDARG00000019406,28,53.5,90,142,39,60,24,86,132,59.5,25,136.5
ENSDARG00000019417,44,53,194,306,118,712.5,352,283,513,1193,146,809.5
ENSDARG00000019418,0,10,26,8,5,189,12,21.5,40,20.5,37,67.5
ENSDARG00000019420,74,226.5,341,675.5,284,839.5,319,678,900,918,358,1315
ENSDARG00000019426,1782,2348.5,2812,3304,1347,3725,1554,1546.5,6629,4582.5,2764,4240.5
ENSDARG00000019438,172,414,289,1777,221,2783,261,2103,919,4008,293,2611
ENSDARG00000019442,276,512.5,164,263,175,201.5,244,132.5,485,814.5,177,412.5
ENSDARG00000019444,325,550,345,779,194,1007.5,362,470,507,920.5,336,816.5
ENSDARG00000019451,17,5.5,168,35,35,268,125,43,713,47,307,43.5
